201602,2.8,0.2,0.7,0.9,1,1.3,2.4,1.8,3,3.8,2.9,1.4,1.9,2.1
201603,2.8,0.2,0.6,0.8,1.1,1.2,2.7,1.9,3,3.7,2.9,1.7,2,2.1
201604,2.8,0.2,0.5,0.8,1.1,1.3,2.6,1.9,3,3.7,3.1,1.5,2,2.2
201605,2.6,0,0.4,0.8,1.2,1.2,2.4,1.7,3.2,3.3,3.4,1.5,2,2.3
201606,2.5,-0.1,0.1,0.8,1.2,1.3,2.4,1.6,3.1,3,3.4,1.7,2,2.2
201607,2.6,0,0.2,0.9,1.2,1.3,2.5,1.5,3.1,3,3.5,1.8,2.1,2.3
201608,2.4,0.1,0,0.9,1.1,1.3,2.4,1.8,3.3,2.6,3.4,2,2.1,2.3
201609,2.5,0.1,-0.1,1,1.3,1.5,2.3,1.9,3,2.7,3.5,2.2,2.1,2.4
201610,2.5,0.4,-0.2,1.1,1.3,1.5,2.4,2.1,3.2,2.6,3.4,2.4,2.2,2.5
201611,2.4,0.3,0.1,1.1,1.1,1.6,2.5,2.2,3.1,2.4,3.4,2.4,2.2,2.5
201612,2.5,0.3,0.1,1.1,1.2,1.8,2.7,2.2,3,2.4,3.4,2.9,2.3,2.6
201701,2.3,0.4,0.1,0.9,1.2,1.5,2.8,2.2,3,2.1,3.3,2.8,2.3,2.5
201702,2.3,0.5,0,0.9,1.2,1.5,2.8,2.2,2.8,1.9,3.3,2.7,2.2,2.5
201703,2.1,0.7,-0.1,0.7,1.3,1.6,2.5,2,2.8,1.6,3.4,2.5,2.2,2.4
