E12000001,North East,NE
E12000002,North West,NW
E12000003,Yorkshire & the Humber,YtH
E12000004,East Midlands,EM
E12000005,West Midlands,WM
E12000006,East of England,East
E12000007,London,L
E12000008,South East,SE
E12000009,South West,SW
W92000004,Wales,W
E92000001,England,E
S92000003,Scotland,S
